id,name,name_ar,category,category_ar,floor,corridor,created_at,updated_at
1,Subway,صب واي,restaurant,مطعم,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
2,Maps Cafe,مقهى مابس,cafe,مقهى,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
3,Cafeteria,الكافتيريا,Cafeteria,كافتيريا,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
4,Male_Toilet,دورة مياه الرجال,toilet,دورة مياه,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
5,Female_Toilet,دورة مياه النساء,toilet,دورة مياه,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
6,Reception,الاستقبال,administration,إدارة,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
7,B0-1,ب0-1,classroom,قاعة دراسية,0,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
8,Dunkin,دانكن,cafe,مقهى,0,A,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
9,B1-1,ب1-1,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
10,Female_Prayer_Room,مصلى النساء,prayer_room,مصلى,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
11,Female Toilet,دورة مياه النساء,toilet,دورة مياه,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
12,B1-2,ب1-2,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
13,B1-3,ب1-3,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
14,B1-4,ب1-4,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
15,B1-5,ب1-5,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
16,B1-6,ب1-6,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
17,Male_Toilet,دورة مياه الرجال,toilet,دورة مياه,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
18,B1-9,ب1-9,classroom,قاعة دراسية,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
19,Male_Prayer_Room,مصلى الرجال,prayer_room,مصلى,1,B,2026-01-07 17:33:04.674955,2026-01-07 17:33:04.674955
