"id","name","name_ar","category","category_ar","floor","corridor","created_at","updated_at"
1,"Entrance","المدخل","Entrance","مدخل",0,NULL,"2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
2,"Reception","الاستقبال","administration","إدارة",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
3,"Waiting Area","منطقة الانتظار","wating area","منطقة انتظار",0,NULL,"2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
4,"Elevator 1","المصعد 1","Elevator","مصعد",0,NULL,"2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
5,"Dunkin","دانكن","cafe","مقهى",0,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
6,"B0-1","ب0-1","classroom","قاعة دراسية",0,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
7,"Male Toilet","دورة مياه رجال","toilet","دورة مياه",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
8,"Female Toilet","دورة مياه نساء","toilet","دورة مياه",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
9,"Rest Area 1","منطقة استراحة 1","Rest Area","منطقة استراحة",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
10,"Rest Area 2","منطقة استراحة 2","Rest Area","منطقة استراحة",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
11,"Maps Cafe","مقهى مابس","cafe","مقهى",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
12,"Cafeteria","الكافتيريا","Cafeteria","كافتيريا",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
13,"Saldwich","سالدويتش","restaurant","مطعم",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
14,"Subway","صب واي","restaurant","مطعم",0,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
15,"Reception","الاستقبال","administration","إدارة",1,NULL,"2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
16,"Rest Area 3","منطقة استراحة 3","Rest Area","منطقة استراحة",1,"A","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
17,"Elevator 2","المصعد 2","Elevator","مصعد",1,NULL,"2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
18,"School principal","مدير المدرسة","administration","إدارة",1,NULL,"2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
19,"B1-1","ب1-1","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
20,"Female Prayer Room","مصلى نساء","prayer_room","مصلى",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
21,"Female Toilet","دورة مياه نساء","toilet","دورة مياه",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
22,"Emergency Exit 1","مخرج طوارئ 1","Emergency","مخرج طوارئ",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
23,"B1-2","ب1-2","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
24,"B1-3","ب1-3","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
25,"B1-4","ب1-4","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
26,"B1-7","ب1-7","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
27,"B1-5","ب1-5","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
28,"B1-6","ب1-6","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
29,"B1-8","ب1-8","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
30,"Emergency Exit 2","مخرج طوارئ 2","Emergency","مخرج طوارئ",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
31,"Male Toilet","دورة مياه رجال","toilet","دورة مياه",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
32,"Male Prayer Room","مصلى رجال","prayer_room","مصلى",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
33,"B1-9","ب1-9","classroom","قاعة دراسية",1,"B","2026-01-14 14:34:25.750389","2026-01-14 14:34:25.750389"
